year,countyreal,lpop,lemp,first_treat,treat,cluster1
2003,8001,5.8967609333053,8.46146904264388,2007,1,1
2004,8001,5.8967609333053,8.33686963728496,2007,1,1
2005,8001,5.8967609333053,8.34021732094704,2007,1,1
2006,8001,5.8967609333053,8.37816098272068,2007,1,1
2007,8001,5.8967609333053,8.48735234940522,2007,1,1
2003,8019,2.23237719795055,4.99721227376412,2007,1,1
2004,8019,2.23237719795055,5.08140436498446,2007,1,1
2005,8019,2.23237719795055,4.78749174278205,2007,1,1
2006,8019,2.23237719795055,4.99043258677874,2007,1,1
2007,8019,2.23237719795055,5.03695260241363,2007,1,1
2003,8023,1.29828248379668,2.19722457733622,2007,1,6
2004,8023,1.29828248379668,2.30258509299405,2007,1,6
2005,8023,1.29828248379668,2.77258872223978,2007,1,6
2006,8023,1.29828248379668,1.94591014905531,2007,1,6
2007,8023,1.29828248379668,2.99573227355399,2007,1,6
2003,8029,3.32625829499766,5.88332238848828,2007,1,11
2004,8029,3.32625829499766,5.78996017089725,2007,1,11
2005,8029,3.32625829499766,5.85793315448346,2007,1,11
2006,8029,3.32625829499766,5.99893656194668,2007,1,11
2007,8029,3.32625829499766,6.10479323241499,2007,1,11
2003,8041,6.24790553432335,8.96865090337487,2007,1,12
2004,8041,6.24790553432335,8.9157008189569,2007,1,12
2005,8041,6.24790553432335,8.90095787254506,2007,1,12
2006,8041,6.24790553432335,8.90272766403552,2007,1,12
2007,8041,6.24790553432335,8.88100262425557,2007,1,12
2003,8063,2.08081559723298,4.9416424226093,2007,1,6
2004,8063,2.08081559723298,4.86753445045558,2007,1,6
2005,8063,2.08081559723298,4.66343909411207,2007,1,6
2006,8063,2.08081559723298,4.81218435537242,2007,1,6
2007,8063,2.08081559723298,4.91998092582813,2007,1,6
2003,8075,3.02061998906177,5.69709348650541,2007,1,5
2004,8075,3.02061998906177,5.63121178182137,2007,1,5
2005,8075,3.02061998906177,5.72031177660741,2007,1,5
2006,8075,3.02061998906177,5.79605775076537,2007,1,5
2007,8075,3.02061998906177,5.56068163101553,2007,1,5
2003,8103,1.78942340943051,4.45434729625351,2007,1,5
2004,8103,1.78942340943051,4.58496747867057,2007,1,5
2005,8103,1.78942340943051,4.75359019110636,2007,1,5
2006,8103,1.78942340943051,4.90527477843843,2007,1,5
2007,8103,1.78942340943051,4.71849887129509,2007,1,5
2003,8117,3.15904089116602,6.37842618365159,2007,1,13
2004,8117,3.15904089116602,6.27476202124194,2007,1,13
2005,8117,3.15904089116602,6.2841341610708,2007,1,13
2006,8117,3.15904089116602,6.3818160174061,2007,1,13
2007,8117,3.15904089116602,6.43133108193348,2007,1,13
2003,8123,5.19814337757751,7.7553388128465,2007,1,12
2004,8123,5.19814337757751,7.68799716639302,2007,1,12
2005,8123,5.19814337757751,7.75405263903576,2007,1,12
2006,8123,5.19814337757751,7.78945456608667,2007,1,12
2007,8123,5.19814337757751,7.80302664363222,2007,1,12
2003,12007,3.26147543848702,5.50125821054473,2006,1,11
2004,12007,3.26147543848702,5.59471137960184,2006,1,11
2005,12007,3.26147543848702,5.24702407216049,2006,1,11
2006,12007,3.26147543848702,5.43372200355424,2006,1,11
2007,12007,3.26147543848702,5.44241771052179,2006,1,11
2003,12019,4.94743987059911,7.77275271646874,2006,1,5
2004,12019,4.94743987059911,7.81116338502528,2006,1,5
2005,12019,4.94743987059911,7.80139132029149,2006,1,5
2006,12019,4.94743987059911,7.86326672400957,2006,1,5
2007,12019,4.94743987059911,7.87016594646985,2006,1,5
2003,12023,4.03447070018167,6.99117688712121,2006,1,14
2004,12023,4.03447070018167,6.53813982376767,2006,1,14
2005,12023,4.03447070018167,6.59030104819669,2006,1,14
2006,12023,4.03447070018167,6.5510803350434,2006,1,14
2007,12023,4.03447070018167,6.71780469502369,2006,1,14
2003,12029,2.62662320240648,3.85014760171006,2006,1,9
2004,12029,2.62662320240648,4.07753744390572,2006,1,9
2005,12029,2.62662320240648,4.35670882668959,2006,1,9
2006,12029,2.62662320240648,4.31748811353631,2006,1,9
2007,12029,2.62662320240648,4.33073334028633,2006,1,9
2003,12051,3.58933532377755,6.42648845745769,2006,1,3
2004,12051,3.58933532377755,6.42324696353352,2006,1,3
2005,12051,3.58933532377755,6.37331978957701,2006,1,3
2006,12051,3.58933532377755,6.4118182677099,2006,1,3
2007,12051,3.58933532377755,6.37331978957701,2006,1,3
2003,12071,6.08879087493748,8.75872660784204,2006,1,2
2004,12071,6.08879087493748,8.7984546960651,2006,1,2
2005,12071,6.08879087493748,8.99118884193151,2006,1,2
2006,12071,6.08879087493748,9.1516513756275,2006,1,2
2007,12071,6.08879087493748,9.06843112579349,2006,1,2
2003,12087,4.37687589234631,6.72383244082121,2006,1,1
2004,12087,4.37687589234631,6.79234442747081,2006,1,1
2005,12087,4.37687589234631,6.75809450442773,2006,1,1
2006,12087,4.37687589234631,6.74641212857337,2006,1,1
2007,12087,4.37687589234631,6.74758652682932,2006,1,1
2003,12093,3.58101580823799,5.72358510195238,2006,1,8
2004,12093,3.58101580823799,6.01126717440416,2006,1,8
2005,12093,3.58101580823799,6.10255859461357,2006,1,8
2006,12093,3.58101580823799,6.0913098820777,2006,1,8
2007,12093,3.58101580823799,6.14418563412565,2006,1,8
2003,12097,5.15035665593789,7.59085212368858,2006,1,9
2004,12097,5.15035665593789,7.59387784460512,2006,1,9
2005,12097,5.15035665593789,7.76556908109732,2006,1,9
2006,12097,5.15035665593789,7.87321705486274,2006,1,9
2007,12097,5.15035665593789,7.84737183615979,2006,1,9
2003,12099,7.03102015077071,9.76864100976636,2006,1,14
2004,12099,7.03102015077071,9.62918227712599,2006,1,14
2005,12099,7.03102015077071,9.72202562615406,2006,1,14
2006,12099,7.03102015077071,9.81623978397185,2006,1,14
2007,12099,7.03102015077071,9.89363921648131,2006,1,14
2003,12109,4.81328131446834,7.55066124310534,2006,1,8
2004,12109,4.81328131446834,7.62705741701893,2006,1,8
2005,12109,4.81328131446834,7.71199650704767,2006,1,8
2006,12109,4.81328131446834,7.86288203464149,2006,1,8
2007,12109,4.81328131446834,7.8811822022271,2006,1,8
2003,12113,4.76850428314641,7.09090982207998,2006,1,1
2004,12113,4.76850428314641,7.16394668434255,2006,1,1
2005,12113,4.76850428314641,7.36073990305828,2006,1,1
2006,12113,4.76850428314641,7.40306109109009,2006,1,1
2007,12113,4.76850428314641,7.33367639565768,2006,1,1
2003,12121,3.55088095595665,5.67332326717149,2006,1,12
